web_name,team,position,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in_event,transfers_out_event,bonus,goals_scored,assists,goals_conceded,clean_sheets,saves,own_goals,penalties_missed,penalties_saved,penalties_order,yellow_cards,red_cards,starts,minutes,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,chance_of_playing_next_round,chance_of_playing_this_round,status,in_dreamteam,dreamteam_count,ep_this,ep_next,strength,is_GKP,goal_involvement
Murillo,NFO,DEF,0.7,4.5,0.0,2,2,3.1,24.2,1.1,6.0,136,42,0,0,0,1,0,0,0,0,0,0.0,0,0,1,90,0.06,0.01,0.07,1.7,0.0,0.0,Available,0,0,0.7,0.7,3,0,0
Odysseas,NFO,GKP,0.0,4.5,0.0,0,0,0.0,0.0,0.0,0.0,108,110,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,0.0,0.0,3,1,0
Omobamidele,NFO,DEF,0.0,4.5,0.0,0,0,0.0,0.0,0.0,0.0,23,36,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,0.0,0.0,3,0,0
Dominguez,NFO,MID,4.0,5.0,0.0,10,12,9.3,63.4,8.8,20.0,800,197,3,1,0,3,0,0,0,0,0,0.0,0,0,2,169,0.07,0.07,0.14,2.2,75.0,0.0,Doubtful,0,1,4.0,3.0,3,0,1
Sangaré,NFO,MID,1.0,5.0,0.0,1,3,4.8,33.6,12.0,3.0,97,70,0,0,0,4,0,0,0,0,0,0.0,2,0,3,221,0.1,0.09,0.19,2.21,0.0,0.0,Available,0,0,1.0,1.0,3,0,0
Origi,NFO,FWD,0.7,5.0,0.1,1,2,2.3,4.2,14.6,6.0,1694,1545,0,0,0,0,0,0,0,0,0,0.0,1,0,0,44,0.06,0.16,0.22,1.75,0.0,0.0,Available,0,0,0.7,0.7,3,0,0
Trusty,SHU,DEF,0.3,3.9000000000000004,0.9,1,1,0.7,6.8,0.1,0.0,4015,2335,0,0,0,2,0,0,0,0,0,0.0,0,0,0,15,0.0,0.0,0.0,1.02,0.0,0.0,Available,0,0,-0.2,-0.2,2,0,0
Archer,SHU,FWD,1.7,4.5,7.7,2,17,13.9,45.2,56.2,38.0,118290,62405,3,1,1,14,0,0,0,0,0,0.0,2,0,4,337,0.33,0.13,0.46,9.97,0.0,0.0,Available,0,0,1.2,1.2,2,0,2
McAtee,SHU,MID,2.0,4.4,0.1,1,7,9.7,14.2,33.9,48.0,3822,1579,0,0,0,9,1,0,0,0,0,0.0,1,0,3,213,0.29,0.1,0.39,5.99,0.0,0.0,Available,0,0,1.5,1.5,2,0,0
Ahmedhodžić,SHU,DEF,-0.3,4.3,0.3,1,2,20.1,123.4,8.2,68.0,292,980,0,0,0,19,0,0,0,0,0,0.0,3,0,7,630,0.85,0.08,0.93,17.43,100.0,100.0,Available,0,0,-0.8,-0.8,2,0,0
